# syllables<TAB>word
# syllables use space-separated pinyin syllables, e.g. "shu ru fa".
si xiang ji ben yuan ze	四项基本原则
si zhu bu pa kai shui tang	死猪不怕开水烫
sui qian wan ren wu wang yi	虽千万人吾往矣
tai tou bu jian di tou jian	抬头不见低头见
tai wan min zhu zi zhi tong meng	台湾民主自治同盟
tai yang cong xi bian chu lai	太阳从西边出来
tai yang neng dian chi	太阳能电池
tang ji he de	唐吉诃德
tang tang huang huang	堂堂皇皇
tang tang zheng zheng	堂堂正正
tian bu guo nei kong bai	填补国内空白
tian shang diao xian bing	天上掉馅饼
tian sheng wo cai bi you yong	天生我才必有用
tian tian xiang shang	天天向上
tian xia wu bu san zhi yan xi	天下无不散之筵席
tian xia wu ya yi ban hei	天下乌鸦一般黑
tian ya he chu wu fang cao	天涯何处无芳草
tiao tiao da lu tong luo ma	条条大路通罗马
tiao tiao kuang kuang	条条框框
ting diao bu ting xuan	听调不听宣
tong chuang gong zhen	同床共枕
tong shi tian ya lun luo ren	同是天涯沦落人
tong wang chang yi yang	同往常一样
tong yi zhan xian li lun	统一战线理论
tou ji bu cheng shi ba mi	偷鸡不成蚀把米
tu xing tu xiang chu li	图形图像处理
tu zi bu chi wo bian cao	兔子不吃窝边草
wai xiang xing jing ji	外向型经济
wan fu bu dang zhi yong	万夫不当之勇
wan wan mei you xiang dao	万万没有想到
wei guang miao zhun ju	微光瞄准具
wei kong tian xia bu luan	惟恐天下不乱
wei ren chu shi	为人处事
wei shen zhong qi jian	为慎重起见
wen liang gong jian rang	温良恭俭让
wen xian ge er zhi ya yi	闻弦歌而知雅意
wu shi bu deng san bao dian	无事不登三宝殿
wu yi guo ji lao dong jie	五一国际劳动节
wu yi lao dong jiang zhang	五一劳动奖章
wu zheng fu zhuang tai	无政府状态
xia ji fu cong shang ji	下级服从上级
xia lu xiang feng yong zhe sheng	狭路相逢勇者胜
xia mao peng shang si hao zi	瞎猫碰上死耗子
xiang lan ye lan bu zhu	想拦也拦不住
xiang she hui kai fang	向社会开放
xian guan bu ru xian guan	县官不如现管
xiang zong shen fa zhan	向纵深发展
xian xiang huan sheng	险象环生
xian xia shou wei qiang	先下手为强
xiao bu ren ze luan da mou	小不忍则乱大谋
xiao fei pin shi chang	消费品市场
xiao pin bu xiao chang	笑贫不笑娼
xie tian zi yi ling zhu hou	挟天子以令诸侯
xin bing hai xu xin yao yi	心病还须心药医
xing bai li zhe ban jiu shi	行百里者半九十
xing shi fan zui fen zi	刑事犯罪分子
xin guan shang ren san ba huo	新官上任三把火
xing zheng shi ye dan wei	行政事业单位
xin jiang wei wu er zi zhi qu	新疆维吾尔自治区
xin ping zhuang jiu jiu	新瓶装旧酒
xin you ling xi yi dian tong	心有灵犀一点通
xiong feng bu jian dang nian	雄风不减当年
xi tong gong cheng xue	系统工程学
xun lei bu ji yan er zhi shi	迅雷不及掩耳之势
yang bing qian ri yong bing yi shi	养兵千日用兵一时
yang mao chu zai yang shen shang	羊毛出在羊身上
yan guan bi bi guan xin	眼观鼻鼻观心
yan hai kai fang cheng shi	沿海开放城市
yan que an zhi hong hu zhi zhi	燕雀安知鸿鹄之志
yi bu bian ying wan bian	以不变应万变
yi chuan shi shi chuan bai	一传十十传百
yi fa lv wei zhun sheng	以法律为准绳
yi fang you nan ba fang zhi yuan	一方有难八方支援
yi fa zhui jiu xing shi ze ren	依法追究刑事责任
yi ge zhong yao fang mian	一个重要方面
yi huan jin kou yi huan	一环紧扣一环
yi jiang gong cheng wan gu ku	一将功成万骨枯
yi ku er nao san shang diao	一哭二闹三上吊
ying te na xiong nai er	英特纳雄耐尔
ying xiong bu wen chu chu	英雄不问出处
ying xiong chu shao nian	英雄出少年
ying xiong nan guo mei ren guan	英雄难过美人关
ying xiong xing xiang	英雄形象
ying xiong you yong wu zhi di	英雄有用武之地
yi shi bai er gao zhong	以失败而告终
yi shi ji qi qian ceng lang	一石激起千层浪
yi shi zu cheng qian gu hen	一失足成千古恨
yi shu gan ran	艺术感染
yi tiao dao zou dao hei	一条道走到黑
yong yi ju hua lai shuo	用一句话来说
you bao pi pa ban zhe mian	犹抱琵琶半遮面
you qian neng shi gui tui mo	有钱能使鬼推磨
you qi ming er wu qi shi	有其名而无其实
you qing ren zhong cheng juan shu	有情人终成眷属
you xian ze ren gong si	有限责任公司
you yan bu shi tai shan	有眼不识泰山
you yi fen re fa yi fen guang	有一分热发一分光
you yuan qian li lai xiang hui	有缘千里来相会
you yu zhong zhong yuan yin	由于种种原因
you zhi zhe shi jing cheng	有志者事竟成
yuan jia yi jie bu yi jie	冤家宜解不宜结
yuan shui jie bu liao jin ke	远水解不了近渴
yuan shui jiu bu liao jin huo	远水救不了近火
zai bai mang zhi zhong	在百忙之中
zai bu jiu de jiang lai	在不久的将来
zai quan guo fan wei nei	在全国范围内
zai ren he qing kuang xia	在任何情况下
zai te ding qing kuang xia	在特定情况下
zai te shu qing kuang xia	在特殊情况下
zai tie de shi shi mian qian	在铁的事实面前
zai tong chang qing kuang xia	在通常情况下
zai tong deng tiao jian xia	在同等条件下
zai zhe ge ji chu shang	在这个基础上
zai zheng chang qing kuang xia	在正常情况下
zhang yi mei duo tu gou bei	丈义每多屠狗辈
zhan zheng zhuang tai	战争状态
zheng chang qing kuang	正常情况
zheng chang yun zhuan	正常运转
zheng fan liang fang mian	正反两方面
zheng fu gong zuo bao gao	政府工作报告
zheng mian zhan chang	正面战场
zheng qiang hao sheng	争强好胜
zheng quan jiao yi suo	证券交易所
zheng ren xian zheng ji	正人先正己
zheng yin wei zhe yang	正因为这样
zheng zheng jing jing	正正经经
zheng zhi xie shang hui yi	政治协商会议
zhen jian dui mai mang	针尖对麦芒
zhen jin bu pa huo lian	真金不怕火炼
zhen zhen zheng zheng	真真正正
zhe shan wang zhe na shan gao	这山望着那山高
zhi gong dai biao da hui	职工代表大会
zhi hui kong zhi xi tong	指挥控制系统
zhi shi jiu shi li liang	知识就是力量
zhi xian yuan yang bu xian xian	只羡鸳鸯不羡仙
zhi yu si di er hou kuai	置于死地而后快
zhi zhi si di er hou sheng	置之死地而后生
zhong deng zhuan ye jiao yu	中等专业教育
zhong dian gong cheng	重点工程
zhong dong zhan zheng	中东战争
zhong guo gong chan dang	中国共产党
zhong guo gong shang yin hang	中国工商银行
zhong guo guo min dang	中国国民党
zhong guo hong shi zi hui	中国红十字会
zhong guo hong shi zi hui zong hui	中国红十字会总会
zhong guo jiao tong yin hang	中国交通银行
zhong guo min zhu cu jin hui	中国民主促进会
zhong guo min zhu jian guo hui	中国民主建国会
zhong guo min zhu tong meng	中国民主同盟
zhong guo nong gong min zhu dang	中国农工民主党
zhong guo nong ye yin hang	中国农业银行
zhong guo qing nian dang	中国青年党
zhong guo ren min da xue	中国人民大学
zhong guo ren min jie fang jun	中国人民解放军
zhong guo ren min yin hang	中国人民银行
zhong guo shao nian xian feng dui	中国少年先锋队
zhong guo she hui ke xue yuan	中国社会科学院
zhong guo zhi gong dang	中国致公党
zhong hua ren min gong he guo	中华人民共和国
zhong kou xiang chuan	众口相传
zhong yang ban gong ting	中央办公厅
zhong yang dian shi tai	中央电视台
zhong yang ren min guang bo dian tai	中央人民广播电台
zhong yang wei yuan hui	中央委员会
zhong yang zheng zhi ju	中央政治局
zhong zhi cheng cheng	众志成城
zhong zhong zhi zhong	重中之重
zhuang sha chong leng	装傻充愣
zhuan kuan zhuan yong	专款专用
zhuan zheng dui xiang	专政对象
zhu fang cheng xiang jian she bu	住房城乡建设部
zhu guan neng dong xing	主观能动性
zhu guan wei xin zhu yi	主观唯心主义
zhu lan da shui yi chang kong	竹篮打水一场空
zhuo zhuang cheng zhang	茁壮成长
zhu ren weng jing shen	主人翁精神
zi gu ying xiong chu shao nian	自古英雄出少年
zui gao ren min fa yuan	最高人民法院
zui gao ren min jian cha yuan	最高人民检察院
zui weng zhi yi bu zai jiu	醉翁之意不在酒
